listing_id,listing_name,country,city,listing_type,room_type,currency,guests,bedrooms,cancellation_policy,rating_overall,ttm_revenue,ttm_avg_rate
38987390,【REST 】Bugis/Cinematic  Deluxe Twin Room - POOL,singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Firm,4.0,19892.0,223.2
39014250,[BUGIS] Cinematic Deluxe Double with pool,singapore,singapore,Room in hotel,hotel_room,SGD,2.0,1.0,Strict,4.47,2475.0,242.0
39014610,[BUGIS] Cinematic Premium Family with POOL,singapore,singapore,Room in hotel,hotel_room,SGD,4.0,1.0,Strict,4.61,46829.0,439.2
39338786,Habyt Cantonment - The Large,singapore,singapore,Room in aparthotel,private_room,SGD,2.0,1.0,Strict,4.52,9553.0,187.3
39451138,Luxury 1BR+Private Bath with Amazing Gym & Pools,singapore,singapore,Private room in condo,private_room,SGD,,,Strict,5.0,5156.0,50.8
39589304,【REST 】Bugis/Cinematic Del-triple Room - Pool,singapore,singapore,Room in hotel,private_room,SGD,3.0,1.0,Firm,4.75,63342.0,374.6
39638066,Lavender SingleBed RmA: 5m walk MRT,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,4.5,446.0,32.0
40211954,1960s singlebed *Rm @ lavender bugis.,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,382.0,32.1
40315763,"23hr selfcheckin LoftBed RmAm, 5min city center",singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,411.0,34.7
40456301,(2 mins to MRT) RM 1: 8-Bed Family Room,singapore,singapore,Private room in bed and breakfast,private_room,SGD,,,Strict,4.59,29209.0,237.2
40690201,Central CBD Serviced Studio w subway station (MRT),singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,,Strict,4.9,3161.0,127.7
40736423,CBD Spacious Studio Apartment with Washer & Dryer,singapore,singapore,Entire rental unit,entire_home,SGD,2.0,1.0,Strict,4.6,4587.0,217.7
40769351,BALCONY rm1C* @ tiong bahru near SGH,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,5.0,539.0,40.5
40833390,"NTU home, Near to Gek Poh",singapore,singapore,Private room in condo,private_room,SGD,,,Firm,4.67,1920.0,40.5
40875632,Spacious Studio Apartment near Bencoolen MRT,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,5.0,3692.0,258.7
40974363,Cozy & Affordable Ensuite w/Balcony @NUS NUH (304),singapore,singapore,Room in boutique hotel,private_room,SGD,3.0,,Strict,3.67,2733.0,145.9
40974569,Amazing Quad Room a 10min walk to MRT & NUS  (103),singapore,singapore,Room in boutique hotel,private_room,SGD,4.0,,Strict,,2805.0,165.0
40975409,Budget Couple Room @ NUS & Haw By Villa MRT (105),singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,,Strict,,3831.0,98.4
40975603,Affordable Family Room for 6pax @NUS MRT (207),singapore,singapore,Room in boutique hotel,private_room,SGD,6.0,,Strict,4.38,21234.0,183.3
40975736,Family Room 10min to NUS & Haw Par Villa MRT (109),singapore,singapore,Room in boutique hotel,private_room,SGD,6.0,,Strict,4.63,9527.0,168.8
41032819,CBD Studio Serviced Apartment near Bras Basah MRT,singapore,singapore,Entire rental unit,entire_home,SGD,2.0,1.0,Firm,4.83,23053.0,195.7
41033189,Super Host Comfy WFH Studio Apartment in CBD Area,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,4.83,16678.0,194.2
41070234,CBD Comfortable & Modern Studio Serviced Apartment,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,4.63,4130.0,212.4
41090879,Affordable Room @NUS & Haw Par MRT -NoWindow (202),singapore,singapore,Room in boutique hotel,private_room,SGD,1.0,1.0,Strict,4.0,1803.0,66.6
41091240,Spacious Family Rm @ NUS & Haw Par Villa MRT (303),singapore,singapore,Room in boutique hotel,private_room,SGD,4.0,1.0,Strict,4.17,7764.0,184.1
41091895,"Clean & Comfy Single RM @NUS,NUH,Mrt HawPar (106)",singapore,singapore,Room in boutique hotel,private_room,SGD,1.0,1.0,Strict,4.0,2969.0,85.4
41116137,Budget Couple Room near NUS&MRT -No Window (306),singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Strict,3.29,3131.0,99.9
41116342,"Big Family Room w/balcony at NUH&NUS,Sentosa (307)",singapore,singapore,Room in boutique hotel,private_room,SGD,6.0,1.0,Strict,4.48,26607.0,184.4
41117291,Amazing Clean Room @NUS & Haw Par Villa MRT! (309),singapore,singapore,Room in boutique hotel,private_room,SGD,4.0,1.0,Strict,4.67,8920.0,144.4
41158163,Cozy Loft in the Heart of Orchard Road,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,,4619.0,281.3
41323209,Lavender QueenBed RmT* : 5m walk MRT,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,5.0,434.0,34.2
41439350,Capsule (Single - Mixed) [Kampong Glam]Lower Bunk,singapore,singapore,Shared room in hostel,shared_room,SGD,,,Moderate,4.5,2019.0,72.5
41439736,Deluxe Twin Room in  hotel  along  West Coast,singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Flexible,4.36,4244.0,129.4
41460941,Deluxe Double Room in  hotel  along  West Coast,singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Flexible,4.38,2434.0,137.4
41476885,Superior Double Room (no windows) along West Coast,singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Flexible,,1524.0,124.0
41481981,Shipping Container 1 @ Haw Par Villa,singapore,singapore,Entire home,entire_home,SGD,4.0,1.0,Firm,4.87,50359.0,194.2
41482560,Shipping Container 2 @ Haw Par Villa,singapore,singapore,Entire home,entire_home,SGD,4.0,1.0,Firm,4.88,49020.0,177.7
42079535,"Double, Window, Private Bathroom near Bugis MRT",singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Strict,4.34,10327.0,119.2
42079889,"Twin, private bathroom, 2 mins walk to Bugis MRT",singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Strict,4.34,12836.0,124.4
42081657,"Quad, Window, Private Bathroom near Bugis MRT",singapore,singapore,Room in boutique hotel,private_room,SGD,4.0,1.0,Strict,4.44,27376.0,197.8
42337015,1-BR Deluxe - Pan Pacific Serviced Suites Orchard,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Firm,5.0,38972.0,368.5
42337552,1BR Deluxe - Pan Pacific Serviced Suites Orchard,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Firm,,4380.0,369.8
42337799,1-BR Executive-Pan Pacific Serviced Suites Orchard,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Firm,4.86,20704.0,390.8
42417293,"Double Room, SHORT OVERNIGHT, 8 hours: 11PM-7AM",singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Firm,4.74,1483.0,67.1
42753075,24hr selfcheckin Single NoWin rm* 5min city center,singapore,singapore,Private room in rental unit,private_room,SGD,,,Flexible,,412.0,34.5
42796548,"Studio 10, Raeburn Park, Outram, PK",singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,4.22,5097.0,157.4
42885763,"Double,window,Short overnight,8 hours: 11:59pm-8am",singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Strict,4.51,918.0,73.3
42885911,"Double Room, Short overnight, 8 hours: 11:59pm-8am",singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Strict,4.56,886.0,65.1
43313813,Superior Twin Room in City Center,singapore,singapore,Room in hotel,private_room,SGD,2.0,1.0,Moderate,4.88,30806.0,127.0
43336673,"Double Room, DAYUSE, 5 hours: 9AM-2PM",singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Strict,4.73,759.0,62.6
43359359,Luxury Modern studio room SEN-5 with shared pool,singapore,singapore,Private room in bungalow,private_room,SGD,,,Strict,,1107.0,97.8
43407835,"Double Room, DAYUSE, 5 hours: 10AM-3PM",singapore,singapore,Room in boutique hotel,private_room,SGD,2.0,1.0,Strict,4.77,996.0,66.2
43492196,Garden room with private bathroom / shared pool,singapore,singapore,Private room in bungalow,private_room,SGD,,,Strict,4.88,3165.0,67.9
